no,issn1,issn2,title,last_year
1,2077-9038,"",Academia. Архитектура и строительство,""
2,0132-8077,2221-5115,Acarina,""
3,2541-9420,2587-9596,Acta Biomedica Scientifica (East Siberian Biomedical Journal),""
4,2306-5737,2658-4069,Acta Linguistica Petropolitana. Труды института лингвистических исследований,""
5,2075-8243,"",Acta Naturae (русскоязычная версия),""
6,0131-1379,"",Arctoa,""
7,2218-9173,"",Ars Administrandi. Искусство управления,""
8,0136-006X,"",Arthropoda Selecta. Русский артроподологический журнал,""
9,2542-2154,2587-5779,Biological Communications,""
10,2226-4701,2410-3713,Botanica Pacifica: a Journal of Plant Science and Conservation,""
11,2687-0894,2687-0908,Construction and Geotechnics,""
12,1026-051X,2713-2196,Far Eastern Entomologist,""
13,2308-4057,2310-9599,Foods and Raw Materials,""
14,"",2078-502X,Geodynamics & Tectonophysics,""
15,2071-9388,2542-1565,"Geography, Environment, Sustainability",""
16,2587-9618,2588-0195,International Journal for Computational Civil and Structural Engineering,""
17,1812-9250,1814-0815,Invertebrate Zoology,""
18,"",2712-7435,Journal of Applied Economic Research,""
19,"",2411-2844,Journal of Biomedical Photonics & Engineering,""
20,2076-6297,2412-6039,Journal of Institutional Studies,""
21,2076-8214,2078-1938,Laboratorium: журнал социальных исследований,""
22,"",2712-8172,Magazine of Civil Engineering,""
23,1605-2730,1605-8119,Materials Physics and Mechanics,""
24,2452-2449,2452-1779,Modern Electronic Materials,""
25,2500-008X,"",Nature Conservation Research. Заповедная наука,""
26,1561-4085,1817-2458,Nonlinear Phenomena in Complex Systems,""
27,1054-6618,1555-6212,Pattern Recognition and Image Analysis (Advances in Mathematical Theory and Applications),""
28,0202-2532,2618-6969,Philologia Classica,""
29,1541-308X,1934-807X,Physics of Wave Phenomena,""
30,2311-911X,2313-6871,Quaestio Rossica,""
31,0132-8069,"",Russian Entomological Journal,""
32,"",1681-1208,Russian Journal of Earth Sciences,""
33,2405-4739,"",Russian Journal of Economics,""
34,1026-2296,"",Russian Journal of Herpetology,""
35,2687-0088,2686-8024,Russian Journal of Linguistics,""
36,2658-5324,2658-5316,Russian Journal of Nonlinear Dynamics,""
37,0136-0027,2307-7336,Ruthenica: Русский малакологический журнал,""
38,1995-4328,1995-4336,Schole. Философское антиковедение и классическая традиция,""
39,"",2658-6762,Science for Education Today,""
40,2304-0785,2305-6754,Slověne,""
41,1681-4363,"",Social Evolution and History,""
42,1608-9057,1857-3533,Stratum plus. Археология и культурная антропология,""
43,2500-4247,2541-8564,Studia Litterarum,""
44,1995-848X,"",Studia Slavica et Balcanica Petropolitana,""
45,2409-6008,2313-8734,Supercomputing Frontiers and Innovations,""
46,1560-7259,1560-7267,Turczaninowia,""
47,0233-528X,"",Авиакосмическая и экологическая медицина,""
48,2073-0020,"",Авиакосмическое приборостроение,""
49,2071-9140,"",Авиационные материалы и технологии,""
50,0005-2310,"",Автоматика и телемеханика,""
51,0005-2329,"","Автоматика, связь, информатика",""
52,0320-7102,"",Автометрия,""
53,0869-8155,2686-701X,Аграрная наука,""
54,2072-9081,2500-1396,Аграрная наука Евро-Северо-Востока,""
55,1997-4868,2307-0005,Аграрный вестник Урала,""
56,2313-8432,2587-9944,Аграрный научный журнал,""
57,2687-1149,2687-1130,Агроинженерия,""
58,1029-2551,"",Агрохимический вестник,""
59,0002-1881,"",Агрохимия,""
60,0321-5075,"",Азия и Африка сегодня,""
61,0235-5620,"",Актуальные проблемы Европы,""
62,2312-2129,"",Актуальные проблемы теории и истории искусства,""
63,0320-7919,"",Акустический журнал,""
64,0300-9092,"",Акушерство и гинекология,""
65,0234-0852,"",Алгебра и анализ,""
66,0373-9252,"",Алгебра и логика,""
67,2072-0505,2587-9294,Альманах клинической медицины,""
68,1999-4079,2686-9519,Амурский зоологический журнал,""
69,2308-1155,2308-1163,Анализ риска здоровью,""
70,2073-1442,2073-1450,Аналитика и контроль,""
71,1027-6661,"",Ангиология и сосудистая хирургия,""
72,1814-6791,2307-6313,Анналы аритмологии,""
73,2075-5473,2409-2533,Анналы клинической и экспериментальной неврологии,""
74,1560-9502,2411-2674,Анналы хирургии,2019
75,1995-5464,2408-9524,Анналы хирургической гепатологии,""
76,0235-2990,"",Антибиотики и химиотерапия,""
77,2686-7206,2686-925X,Антиномии,""
78,1815-8870,"",Антропологический форум,""
79,0235-2443,"","АПК: Экономика, управление",""
80,1993-3916,"",Аридные экосистемы,""
81,"",2221-2698,Арктика и Север,""
82,2223-4594,"",Арктика: экология и экономика,""
83,1817-6976,"",Археологические вести,""
84,1563-0102,2410-7182,"Археология, этнография и антропология Евразии",""
85,0004-1955,2309-1266,Архив патологии,""
86,0320-930X,"",Астрономический вестник. Исследования Солнечной системы,""
87,0004-6299,"",Астрономический журнал,""
88,"",1990-3391,Астрофизический бюллетень,""
89,2219-8202,2409-2355,Атеросклероз и дислипидемии,""
90,0004-7163,"",Атомная энергия,""
91,2074-9848,2310-0532,Балтийский регион,""
92,1812-3945,"",Банковское право,""
93,1998-0663,2587-8166,Бизнес-информатика,""
94,0233-4755,"",Биологические мембраны,""
95,0320-9652,"",Биология внутренних вод,""
96,0134-3475,"",Биология моря,""
97,2074-5982,"",Биомедицина,""
98,1560-4136,"",Биомедицинская радиоэлектроника,""
99,2310-6972,2310-6905,Биомедицинская химия,""
100,0132-3423,1998-2860,Биоорганическая химия,""
101,2221-996X,2619-1156,"Биопрепараты. Профилактика, диагностика, лечение",""
102,0234-2758,2500-2341,Биотехнология,""
103,0006-3029,"",Биофизика,""
104,0320-9725,"",Биохимия,""
105,0006-8136,2658-6339,Ботанический журнал,""
106,"",0027-1403,Бюллетень Московского общества испытателей природы. Отдел биологический,""
107,1810-0694,2410-9959,Бюллетень НЦССХ им. А.Н. Бакулева РАМН. Сердечно- сосудистые заболевания,""
108,0136-1694,2312-4202,Бюллетень Почвенного института им. В.В. Докучаева,""
109,1682-0363,1819-3684,Бюллетень сибирской медицины,""
110,0365-9615,2413-1008,Бюллетень экспериментальной биологии и медицины,""
111,2500-0462,2500-3259,Вавиловский журнал генетики и селекции,""
112,1994-9065,"",Век глобализации,""
113,2311-0546,"",Вестник антропологии,""
114,1561-8641,2658-7327,Вестник аритмологии,""
115,1811-7465,2071-0437,"Вестник археологии, антропологии и этнографии",""
116,2073-0101,"",Вестник архивиста,""
117,2073-5529,2309-978X,Вестник Астраханского государственного технического университета. Серия: Рыбное хозяйство,""
118,1998-9911,2409-1979,Вестник Волгоградского государственного университета. Серия 2: Языкознание,""
119,2071-2243,"",Вестник Воронежского государственного аграрного университета,""
120,1609-0683,"",Вестник Воронежского государственного университета. Серия: География. Геоэкология,""
121,1609-0691,"",Вестник Воронежского государственного университета. Серия: Геология,""
122,1995-5499,"",Вестник Воронежского государственного университета. Серия: Системный анализ и информационные технологии,""
123,2078-1962,2713-2625,Вестник восстановительной медицины,""
124,1992-2043,"",Вестник гражданского права,""
125,2226-0781,2686-942X,Вестник гражданского процесса,""
126,0042-4609,2313-6294,Вестник дерматологии и венерологии,""
127,0321-0391,"",Вестник древней истории,""
128,"",2221-1616,Вестник Института социологии,""
129,2073-0462,"",Вестник Казанского государственного аграрного университета,""
130,1816-5524,1816-5532,Вестник Камчатской региональной организации Учебно-научный центр. Серия: Науки о Земле,""
131,1819-4036,"",Вестник КрасГАУ,""
132,1995-2732,2412-9003,Вестник Магнитогорского государственного технического университета им. Г.И. Носова,""
133,0042-4633,"",Вестник машиностроения,""
134,2071-8160,2541-9099,Вестник МГИМО Университета,""
135,1997-0935,2304-6600,Вестник МГСУ,""
136,1996-7845,2542-2081,"Вестник международных организаций: образование, наука, новая",""
137,0869-6101,"",экономика Вестник Московского авиационного института,""
138,1812-3368,2686-8768,Вестник Московского государственного технического университета им. Н.Э. Баумана. Серия Естественные науки,""
139,0236-3941,2413-6247,Вестник Московского государственного технического университета им. Н.Э. Баумана. Серия Машиностроение,""
140,0236-3933,2687-0614,Вестник Московского государственного технического университета им. Н.Э. Баумана. Серия Приборостроение,""
141,"",0579-9368,Вестник Московского университета. Серия 1: Математика. Механика,""
142,0320-8079,2658-3526,Вестник Московского университета. Серия 10: Журналистика,""
143,0868-4871,"",Вестник Московского университета. Серия 12: Политические науки,""
144,0137-0936,0137-0936,Вестник Московского университета. Серия 14: Психология,""
145,"",0137-0782,Вестник Московского университета. Серия 15: Вычислительная математика и кибернетика,""
146,0137-0952,"",Вестник Московского университета. Серия 16: Биология,""
147,0137-0944,"",Вестник Московского университета. Серия 17: Почвоведение,""
148,2074-1588,"",Вестник Московского университета. Серия 19: Лингвистика и межкультурная коммуникация,""
149,"",0579-9384,Вестник Московского университета. Серия 2: Химия,""
150,"",2074-8132,Вестник Московского университета. Серия 23: Антропология,""
151,"",0579-9392,Вестник Московского университета. Серия 3: Физика. Астрономия,""
152,0579-9406,"",Вестник Московского университета. Серия 4: Геология,""
153,"",0579-9414,Вестник Московского университета. Серия 5: География,""
154,0130-0105,"",Вестник Московского университета. Серия 6: Экономика,""
155,0201-7385,"",Вестник Московского университета. Серия 7: Философия,""
156,"",0130-0083,Вестник Московского университета. Серия 8: История,""
157,0130-0075,"",Вестник Московского университета. Серия 9: Филология,""
158,2074-6822,"","Вестник неврологии, психиатрии и нейрохирургии",""
159,1818-7919,"","Вестник Новосибирского государственного университета. Серия: История, филология",""
160,1818-7935,"",Вестник Новосибирского государственного университета. Серия: Лингвистика и межкультурная коммуникация,""
161,2312-1300,"",Вестник Омского университета. Серия: Исторические науки,""
162,0042-4668,2309-1274,Вестник оториноларингологии,""
163,0042-465X,2309-1282,Вестник офтальмологии,""
164,2224-9893,2226-1869,Вестник Пермского национального исследовательского политехнического университета. Механика,""
165,2219-3111,"",Вестник Пермского университета. История,""
166,2218-1067,"",Вестник Пермского университета. Политология,""
167,1991-640X,2409-4692,Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 1: Богословие. Философия. Религиоведение,""
168,1991-6434,2409-4811,Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 2: История. История Русской Православной Церкви,""
169,1991-6485,2409-4897,Вестник Православного Свято-Тихоновского гуманитарного университета. Серия 3: Филология,""
170,1726-9865,1726-9795,Вестник РОНЦ им. Н. Н. Блохина РАМН,2018
171,2686-9667,"",Вестник российских университетов. Математика,""
172,2312-797X,2312-7988,Вестник Российского университета дружбы народов. Серия: Агрономия и животноводство,""
173,2313-0660,2313-0679,Вестник Российского университета дружбы народов. Серия: Международные отношения,""
174,2313-1438,2313-1446,Вестник Российского университета дружбы народов. Серия: Политология,""
175,2313-1683,2313-1705,Вестник Российского университета дружбы народов. Серия: Психология и педагогика,""
176,2313-2272,2408-8897,Вестник Российского университета дружбы народов. Серия: Социология,""
177,2313-2337,2408-9001,Вестник Российского университета дружбы народов. Серия: Юридические науки,""
178,2587-6090,2587-8956,Вестник Российского фонда фундаментальных исследований. Гуманитарные и общественные науки,""
179,0869-6047,2414-3545,Вестник Российской академии медицинских наук,""
180,0869-5873,"",Вестник Российской академии наук,""
181,1682-7392,2687-1424,Вестник Российской Военно-медицинской академии,""
182,2500-2082,"",Вестник российской сельскохозяйственной науки,""
183,1991-8615,2310-7081,Вестник Самарского государственного технического университета. Серия: Физико-математические науки,""
184,2542-0453,2541-7533,"Вестник Самарского университета. Аэрокосмическая техника, технологии и машиностроение",""
185,2221-3007,2542-2243,Вестник Санкт-Петербургского университета. Искусствоведение,""
186,1812-9323,2541-9390,Вестник Санкт-Петербургского университета. История,""
187,1025-3106,2587-5884,Вестник Санкт-Петербургского университета. Математика. Механика. Астрономия,""
188,1818-2909,2587-5876,Вестник Санкт-Петербургского университета. Медицина,""
189,1605-7953,2587-5868,Вестник Санкт-Петербургского университета. Менеджмент,""
190,2541-9668,2587-585X,Вестник Санкт-Петербургского университета. Науки о Земле,""
191,2074-1243,2587-5833,Вестник Санкт-Петербургского университета. Право,""
192,1811-9905,2542-2251,Вестник Санкт-Петербургского университета. Прикладная математика. Информатика. Процессы управления,""
193,2658-3607,2587-5817,Вестник Санкт-Петербургского университета. Психология,""
194,2541-9374,2587-5809,Вестник Санкт-Петербургского университета. Социология,""
195,1026-356X,2542-226X,Вестник Санкт-Петербургского университета. Экономика,""
196,2541-9358,2541-9366,Вестник Санкт-Петербургского университета. Язык и литература,""
197,2411-1759,"",Вестник СГУГиТ (Сибирского государственного университета геосистем и технологий),""
198,2618-7116,2618-9704,Вестник Северо-Западного государственного медицинского университета им. И.И. Мечникова,""
199,1561-7793,1561-803X,Вестник Томского государственного университета,""
200,1998-8591,2311-2077,Вестник Томского государственного университета. Биология,""
201,1998-8613,2311-2387,Вестник Томского государственного университета. История,""
202,1998-8621,2311-2255,Вестник Томского государственного университета. Математика и механика,""
203,1998-6645,2310-5046,Вестник Томского государственного университета. Филология,""
204,1998-863X,2311-2395,Вестник Томского государственного университета. Философия. Социология. Политология,""
205,0869-8678,"",Вестник травматологии и ортопедии им. Н.Н. Приорова,""
206,1995-1191,2412-6160,Вестник трансплантологии и искусственных органов,""
207,1994-9197,2076-5959,Вестник Удмуртского университета. Математика. Механика. Компьютерные науки,""
208,1816-4501,"",Вестник Ульяновской государственной сельскохозяйственной академии,""
209,"",2308-6424,Вестник урологии,""
210,0042-4625,2686-7370,Вестник хирургии им. И.И. Грекова,""
211,2500-2643,"",Вестник экономического правосудия Российской Федерации,""
212,2305-9052,2410-7034,Вестник Южно-Уральского государственного университета. Серия: Вычислительная математика и информатика,""
213,2075-809X,2409-6547,Вестник Южно-Уральского государственного университета. Серия: Математика. Механика. Физика,""
214,1990-8512,2409-1057,Вестник Южно-Уральского государственного университета. Серия: Энергетика,""
215,0042-4846,"",Ветеринария,""
216,1814-9588,"",Ветеринария и кормление,""
217,2071-8020,"",Ветеринария Кубани,""
218,2304-196X,2658-6959,Ветеринария сегодня,""
219,0132-3776,"",Византийский временник,""
220,1683-3414,1814-0807,Владикавказский математический журнал,""
221,0321-0596,"",Водные ресурсы,""
222,0026-9050,"",Военно-медицинский журнал,""
223,0202-3822,"",Вопросы атомной науки и техники. Серия: Термоядерный синтез,""
224,1560-9596,2587-7313,"Вопросы биологической, медицинской и фармацевтической химии",""
225,0507-4088,2411-2097,Вопросы вирусологии,""
226,1726-1678,2414-9152,"Вопросы гинекологии, акушерства и перинатологии",""
227,1999-5431,2409-5095,Вопросы государственного и муниципального управления,""
228,2224-5448,2414-9004,Вопросы диетологии,""
229,0132-2826,2311-9586,Вопросы инженерной сейсмологии,""
230,0205-9606,"",Вопросы истории естествознания и техники,""
231,0042-8752,"",Вопросы ихтиологии,""
232,2311-3456,"",Вопросы кибербезопасности,""
233,0042-8787,2309-1355,"Вопросы курортологии, физиотерапии и лечебной физической культуры",""
234,0042-8795,"",Вопросы литературы,""
235,1994-6716,"",Вопросы материаловедения,""
236,0234-0623,"",Вопросы наркологии,""
237,0042-8817,2309-1681,Вопросы нейрохирургии им. Н.Н. Бурденко,""
238,1814-9545,2412-4354,Вопросы образования,""
239,0507-3758,"",Вопросы онкологии,""
240,1994-2400,1994-2451,Вопросы ономастики,""
241,0042-8833,2658-7440,Вопросы питания,""
242,0042-8841,"",Вопросы психологии,""
243,1682-5527,1682-5535,Вопросы современной педиатрии,""
244,2313-6383,"",Вопросы статистики,""
245,0042-8744,"",Вопросы философии,""
246,0042-8736,"",Вопросы экономики,""
247,0373-658X,"",Вопросы языкознания,""
248,0869-1908,"",Восток. Афро-Азиатские общества: история и современность,""
249,1811-0193,"",Врач и информационные технологии,""
250,1994-6260,"",Все материалы. Энциклопедический справочник,""
251,2071-2499,"",Все о мясе,""
252,0203-0306,"",Вулканология и сейсмология,""
253,2308-1120,2412-9844,Высокомолекулярные соединения. Серия А,""
254,2308-1139,2412-9852,Высокомолекулярные соединения. Серия Б,""
255,2308-1147,2412-9860,Высокомолекулярные соединения. Серия С,""
256,1999-6691,"",Вычислительная механика сплошных сред,""
257,"",1726-3522,Вычислительные методы и программирование,""
258,1560-7534,2313-691X,Вычислительные технологии,""
259,"",2304-7380,Гелиогеофизические исследования,""
260,0234-5730,2411-3042,Гематология и трансфузиология,""
261,0016-6758,"",Генетика,""
262,1028-4427,2542-131X,Гений ортопедии,""
263,2313-1829,2500-2562,Гены и Клетки,""
264,2079-7877,"",Географический вестник,""
265,0206-1619,"",География и природные ресурсы,""
266,0016-7126,2587-8492,Геодезия и картография,""
267,1609-364X,"",Геоинформатика,""
268,0016-7886,"",Геология и геофизика,""
269,0016-7894,2587-8263,Геология нефти и газа,""
270,0016-7770,"",Геология рудных месторождений,""
271,2413-5011,"","Геология, геофизика и разработка нефтяных и газовых месторождений",""
272,0016-7940,"",Геомагнетизм и аэрономия,""
273,0435-4281,2658-4530,Геоморфология,""
274,0016-853X,"",Геотектоника,""
275,1681-4568,"",Геофизика,""
276,1818-3735,2311-9543,Геофизические исследования,""
277,1811-0045,2311-9578,Геофизические процессы и биосфера,""
278,0016-7525,"",Геохимия,""
279,0869-7809,"","Геоэкология. Инженерная геология, гидрогеология, геокриология",""
280,0016-9900,2412-0650,Гигиена и санитария,""
281,2618-9631,"",Гидрометеорологические исследования и прогнозы,""
282,0016-9714,"",Гидротехническое строительство,""
283,2079-5696,2079-5831,Гинекология,""
284,0869-7035,2075-0927,Гироскопия и навигация,""
285,1026-9452,"",Государство и право,""
286,0236-2791,2410-8685,Грудная и сердечно-сосудистая хирургия,""
287,1608-845X,"",Дальневосточный математический журнал,""
288,1992-7185,"",Датчики и системы,""
289,0202-1633,"",Двигателестроение,""
290,"",2409-2274,Демографическое обозрение,""
291,0130-3090,"",Деньги и кредит,""
292,1560-9510,2412-0677,Детская хирургия,""
293,1810-0686,2410-8855,Детские болезни сердца и сосудов,""
294,2072-8107,2618-8139,Детские инфекции,""
295,0130-3082,"",Дефектоскопия,""
296,1814-4632,"",Деформация и разрушение материалов,""
297,2073-7564,"",Диалог со временем,""
298,0234-0860,2305-3143,Дискретная математика,""
299,1560-7542,"",Дискретный анализ и исследование операций,""
300,1817-9568,"",Дискурс-Пи,""
301,0374-0641,"",Дифференциальные уравнения,""
302,2305-2260,2309-1363,Доказательная гастроэнтерология,""
303,0869-5652,"",Доклады Академии наук,2019
304,2686-9543,"","Доклады Российской академии наук. Математика, информатика, процессы управления",""
305,2686-7389,"",Доклады Российской академии наук. Науки о жизни,""
306,2686-7397,"",Доклады Российской академии наук. Науки о Земле,""
307,2686-7400,"","Доклады Российской академии наук. Физика, технические науки",""
308,2686-9535,"","Доклады Российской академии наук. Химия, науки о материалах",""
309,1727-2378,"",Доктор.Ру,""
310,0235-2451,"",Достижения науки и техники АПК,""
311,2071-9574,"",Древняя Русь. Вопросы медиевистики,""
312,1684-4866,"",Евразиатский энтомологический журнал,""
313,2224-9443,"",Ежегодник финно-угорских исследований,""
314,2311-0740,2311-0759,Жанры речи,""
315,1991-3966,2499-9644,Жидкие кристаллы и их практическое использование,""
316,0044-4472,"",Жилищное строительство,""
317,1684-0461,1683-9366,Журнал акушерства и женских болезней,""
318,0044-4502,"",Журнал аналитической химии,""
319,0044-4677,"",Журнал высшей нервной деятельности им. И.П. Павлова,""
320,0044-4669,"",Журнал вычислительной математики и математической физики,""
321,2072-6732,2499-9865,Журнал инфектологии,""
322,1727-0634,"",Журнал исследований социальной политики,""
323,0372-9311,"","Журнал микробиологии, эпидемиологии и иммунобиологии",""
324,1997-7298,2309-4729,Журнал неврологии и психиатрии им. C.C. Корсакова,""
325,0044-457X,"",Журнал неорганической химии,""
326,2221-2264,"",Журнал новой экономической ассоциации,""
327,0044-4596,"",Журнал общей биологии,""
328,0044-460X,0044-460X,Журнал общей химии,""
329,0514-7492,"",Журнал органической химии,""
330,0514-7506,"",Журнал прикладной спектроскопии,""
331,0044-4618,"",Журнал прикладной химии,""
332,"",1684-1719,Журнал радиоэлектроники,""
333,1605-6590,2500-4298,Журнал российского права,""
334,1997-1389,2313-5530,Журнал Сибирского федерального университета. Серия: Биология,""
335,1997-1397,2313-6022,Журнал Сибирского федерального университета. Серия: Математика и физика,""
336,1999-494X,2313-6057,Журнал Сибирского федерального университета. Серия: Техника и технологии,""
337,1029-8053,2306-6946,Журнал социологии и социальной антропологии,""
338,1997-0838,"",Журнал стресс-физиологии и биохимии,""
339,0136-7463,2542-0976,Журнал структурной химии,""
340,0044-4642,"",Журнал технической физики,""
341,0044-4537,"",Журнал физической химии,""
342,0044-4529,"",Журнал эволюционной биохимии и физиологии,""
343,0044-4510,"",Журнал экспериментальной и теоретической физики,""
344,1028-6861,"",Заводская лаборатория. Диагностика материалов,""
345,0869-4400,"",Закон,""
346,0869-6055,2658-4352,Записки Российского минералогического общества,""
347,2219-5238,2619-0788,Здоровье населения и среда обитания,""
348,0044-197X,2412-0723,Здравоохранение Российской Федерации,""
349,0044-3913,"",Земледелие,""
350,2079-8725,"",Зерновое хозяйство России,""
351,2308-152X,2313-6197,Золотоордынское обозрение,""
352,0044-5134,"",Зоологический журнал,""
353,0235-2478,"",Зоотехния,""
354,1026-3500,2658-784X,Известия Академии наук. Серия химическая,""
355,1993-8985,2658-4794,Известия высших учебных заведений России. Радиоэлектроника,""
356,0579-2975,"",Известия высших учебных заведений. Авиационная техника,""
357,0536-101X,"",Известия высших учебных заведений. Геодезия и аэрофотосъемка,""
358,0536-1036,"",Известия высших учебных заведений. Лесной журнал,""
359,0021-3446,2076-4626,Известия высших учебных заведений. Математика,""
360,0536-1044,"",Известия высших учебных заведений. Машиностроение,""
361,0579-3009,"",Известия высших учебных заведений. Пищевая технология,""
362,2072-3040,"",Известия высших учебных заведений. Поволжский регион. Физико-математические науки,""
363,1997-308X,2412-8767,Известия высших учебных заведений. Порошковая металлургия и функциональные покрытия,""
364,0021-3454,2500-0381,Известия высших учебных заведений. Приборостроение,""
365,0869-6632,2542-1905,Известия высших учебных заведений. Прикладная нелинейная динамика,""
366,0021-3462,"",Известия высших учебных заведений. Радиофизика,""
367,1026-2237,"",Известия высших учебных заведений. Северо-Кавказский регион. Серия: Естественные науки,""
368,0579-2991,2500-3070,Известия высших учебных заведений. Серия: Химия и химическая технология,""
369,0536-1052,"",Известия высших учебных заведений. Строительство,""
370,0021-3411,"",Известия высших учебных заведений. Физика,""
371,0021-3438,2412-8783,Известия высших учебных заведений. Цветная металлургия,""
372,0368-0797,2410-2091,Известия высших учебных заведений. Черная металлургия,""
373,0136-3360,"",Известия высших учебных заведений. Электромеханика,""
374,1561-5405,2587-9960,Известия высших учебных заведений. Электроника,""
375,0204-3327,"",Известия высших учебных заведений. Ядерная энергетика,""
376,1997-7670,2541-8785,Известия Иркутского государственного университета. Серия: Математика,""
377,2073-3402,"",Известия Иркутского государственного университета.Серия: Науки о Земле,""
378,2071-9485,"",Известия Нижневолжского агроуниверситетского комплекса: Наука и высшее профессиональное образование,""
379,1024-7084,"",Известия Российской академии наук. Механика жидкости и газа,""
380,1026-3519,"",Известия Российской академии наук. Механика твердого тела,""
381,1026-3470,"",Известия Российской академии наук. Серия биологическая,""
382,2587-5566,2658-6975,Известия Российской академии наук. Серия географическая,""
383,1605-7880,2413-7715,Известия Российской академии наук. Серия литературы и языка,""
384,1607-0046,2587-5906,Известия Российской академии наук. Серия математическая,""
385,0367-6765,"",Известия Российской академии наук. Серия физическая,""
386,1029-3620,"",Известия Российской академии наук. Теория и системы управления,""
387,0002-3515,1555-628X,Известия Российской академии наук. Физика атмосферы и океана,""
388,0002-3310,"",Известия Российской академии наук. Энергетика,""
389,0869-6071,"",Известия Русского географического общества,""
390,1816-9791,2541-9005,Известия Саратовского университета. Новая серия. Серия: Математика. Механика. Информатика,""
391,1817-3020,2542-193X,Известия Саратовского университета. Новая серия. Серия: Физика,""
392,0021-342X,"",Известия Тимирязевской сельскохозяйственной академии,""
393,2227-2283,2587-6929,Известия Уральского федерального университета. Серия 2: Гуманитарные науки,""
394,0368-1025,"",Измерительная техника,""
395,0206-4952,2412-1312,Иммунология,""
396,2306-9015,2658-6452,Индоевропейское языкознание и классическая филология,""
397,1993-5056,2587-8247,Инженерная геология,""
398,2072-9995,"",Инженерная физика,""
399,1810-2883,"",Инженерное образование,""
400,0021-0285,"",Инженерно-физический журнал,""
401,1729-9225,2414-9691,Инфекционные болезни,""
402,2305-3496,2658-7394,"Инфекционные болезни: новости, мнения, обучение",""
403,2220-7619,2313-7398,Инфекция и иммунитет,""
404,2713-3192,2713-3206,Информатика и автоматизация,""
405,1992-2264,2310-9912,Информатика и ее применения,""
406,0234-0453,2658-7769,Информатика и образование,""
407,1606-1330,1605-9921,Информационное общество,""
408,"",1819-5822,Информационные процессы,""
