no,issn1,issn2,title,last_year
409,1684-6400,"",Информационные технологии,""
410,2071-8632,"",Информационные технологии и вычислительные системы,""
411,"",2658-5618,ИНЭОС OPEN,""
412,2071-8594,"",Искусственный интеллект и принятие решений,""
413,0205-9614,"",Исследование Земли из космоса,""
414,2409-2231,2410-1893,Исследования и практика в медицине,""
415,0869-6322,"",Исторический архив,""
416,1814-3326,"",Кавказский энтомологический бюллетень,""
417,0368-4814,2587-9359,Казанский медицинский журнал,""
418,0207-6918,2310-3701,Кантовский сборник,""
419,1728-8800,2619-0125,Кардиоваскулярная терапия и профилактика,""
420,2077-6764,"",Кардиологический вестник,""
421,0022-9040,"",Кардиология,""
422,1996-6385,2309-4737,Кардиология и сердечно-сосудистая хирургия,""
423,1816-0387,2413-6476,Катализ в промышленности,""
424,0022-9466,"",Каучук и резина,""
425,0368-7147,"",Квантовая электроника,""
426,0453-8811,"",Кинетика и катализ,""
427,1813-7008,"",Клеи. Герметики. Технологии,""
428,1814-3490,2413-4678,Клеточные технологии в биологии и медицине,""
429,1997-2849,2309-4877,Клиническая дерматология и венерология,""
430,"",2304-0394,Клиническая и специальная психология,""
431,2226-5988,2686-6749,Клиническая и экспериментальная морфология,""
432,1995-5472,2310-3787,Клиническая и экспериментальная тиреоидология,""
433,0869-2084,"",Клиническая лабораторная диагностика,""
434,1684-4386,2686-9586,Клиническая микробиология и антимикробная химиотерапия,""
435,2075-3594,"",Клиническая нефрология,""
436,2220-3095,2618-8627,Клиническая практика,""
437,1811-153X,"",Клиническая стоматология,""
438,0869-5490,"",Клиническая фармакология и терапия,""
439,1814-6910,2410-9134,Клиническая физиология кровообращения,""
440,2079-9667,"","Клинические перспективы гастроэнтерологии, гепатологии",2015
441,0023-2815,"",Кокс и химия,""
442,0023-2912,"",Коллоидный журнал,""
443,2073-7556,2686-7303,Колопроктология,""
444,2306-1278,2587-9537,Комплексные проблемы сердечно-сосудистых заболеваний,""
445,1999-7590,"",Композиты и наноструктуры,""
446,0134-2452,2412-6179,Компьютерная оптика,""
447,2076-7633,2077-6853,Компьютерные исследования и моделирование,""
448,1606-867X,"",Конденсированные среды и межфазные границы,""
449,2073-2562,"",Конструкции из композиционных материалов,""
450,0201-7032,"",Контроль. Диагностика,""
451,2542-0240,2587-9324,"Контуры глобальных трансформаций: политика, экономика, право",""
452,0132-344X,"",Координационная химия,""
453,1562-0417,"",Кормопроизводство,""
454,"",2073-0438,Корпоративные финансы,""
455,1813-7016,"","Коррозия: материалы, защита",""
456,0023-4206,"",Космические исследования,""
457,1994-3210,"",Космонавтика и ракетостроение,""
458,0130-2620,"",Краткие сообщения Института археологии,""
459,0455-0595,"",Краткие сообщения по физике ФИАН,""
460,1997-3187,2410-9169,Креативная кардиология,""
461,1560-7496,"",Криосфера Земли,""
462,0023-4761,"",Кристаллография,""
463,1608-6228,2541-9544,Кубанский научный медицинский вестник,""
464,0234-8241,"",Кузнечно-штамповочное производство. Обработка материалов давлением,""
465,1816-5435,2224-8935,Культурно-историческая психология,""
466,1998-5746,1998-5754,Курский научно-практический вестник Человек и его здоровье,""
467,2071-8004,"",Лазерная медицина,""
468,0044-748X,"",Латинская Америка,""
469,2076-6734,2412-3765,Лёд и снег,""
470,2542-1468,"",Лесной вестник. Forestry Bulletin,""
471,0024-1148,"",Лесоведение,""
472,2071-5315,"",Лечебное дело,""
473,0024-449X,"",Литейное производство,""
474,0024-497X,"",Литология и полезные ископаемые,""
475,1681-9004,2500-302X,Литосфера,""
476,0869-5377,2499-9628,Логос,""
477,1998-9539,"",Макрогетероциклы,""
478,1817-969X,1817-9746,Масс-спектрометрия,""
479,"",1994-6538,Математическая биология и биоинформатика,""
480,2074-9872,"",Математическая теория игр и ее приложения,""
481,2220-2617,2222-3193,Математические вопросы криптографии,""
482,0025-567X,2305-2880,Математические заметки,""
483,1560-750X,"",Математические труды,""
484,0368-8666,2305-2783,Математический сборник,""
485,0234-0879,"",Математическое моделирование,""
486,2309-3684,"",Математическое моделирование и численные методы,""
487,1684-579X,"",Материаловедение,""
488,"",2687-1300,Материаловедение. Энергетика,""
489,"",2713-2021,Материалы по археологии и истории античного и средневекового Причерноморья,""
490,1560-9537,2412-2092,Медико-социальная экспертиза и реабилитация,""
491,1026-9428,2618-8945,Медицина труда и промышленная экология,""
492,2073-7998,"",Медицинская генетика,""
493,1563-0625,2313-741X,Медицинская иммунология,""
494,0025-8326,2713-1777,Медицинская паразитология и паразитарные болезни,""
495,1024-6177,2618-9615,Медицинская радиология и радиационная безопасность,""
496,0025-8075,"",Медицинская техника,""
497,1810-200X,"",Медицинская физика,""
498,1608-4101,2687-1378,Медицинский академический журнал,""
499,2079-701X,2658-5790,Медицинский совет,""
500,2226-2059,2541-8548,Международное правосудие,""
501,1728-2756,1811-2773,Международные процессы,""
502,2072-2419,"",Международный вестник ветеринарии,""
503,"",2079-1100,Международный журнал исследований культуры,""
504,2587-6740,"",Международный сельскохозяйственный журнал,""
505,2218-1172,2218-1180,Мембраны и мембранные технологии,""
506,0026-0819,"",Металловедение и термическая обработка металлов,""
507,0026-0827,"",Металлург,""
508,0869-5733,"",Металлы,""
509,0130-2906,"",Метеорология и гидрология,""
510,1029-6670,"",Механика композиционных материалов и конструкций,""
511,1684-6427,2619-1253,"Мехатроника, автоматизация, управление",""
512,0026-3648,"",Микология и фитопатология,""
513,0026-3656,"",Микробиология,""
514,0544-1269,"",Микроэлектроника,""
515,2079-4665,2411-796X,МИР (Модернизация. Инновации. Развитие),""
516,1811-038X,1811-0398,Мир России. Социология. Этнология,""
517,0131-2227,"",Мировая экономика и международные отношения,""
518,1818-1015,2313-5417,Моделирование и анализ информационных систем,""
519,0026-8984,"",Молекулярная биология,""
520,0208-0613,"","Молекулярная генетика, микробиология и вирусология",""
521,1728-2918,2499-9490,Молекулярная медицина,""
522,1019-8946,"",Молочная промышленность,""
523,0026-9034,"",Молочное и мясное скотоводство,""
524,"",2219-5467,Мониторинг общественного мнения: экономические и социальные перемены,""
525,2499-9768,2499-9776,Морской биологический журнал,""
526,0233-7584,"",Морской гидрофизический журнал,""
527,1026-3543,"",Морфология,""
528,2618-8252,"",Мясная индустрия,""
529,1813-8586,"",Нано- и микросистемная техника,""
530,1993-8578,2687-0282,Наноиндустрия,""
531,2220-8054,2305-7971,"Наносистемы: физика, химия, математика",""
532,"",2075-8545,Нанотехнологии в строительстве: научный интернет-журнал,""
533,1561-7785,"",Народонаселение,""
534,2221-2701,2541-9595,Наука и технологии трубопроводного транспорта нефти и нефтепродуктов,""
535,0868-5886,2312-2951,Научное приборостроение,""
536,1995-4484,1995-4492,Научно-практическая ревматология,""
537,0548-0027,"",Научно-техническая информация. Серия 2: Информационные процессы и системы,""
538,2226-1494,2500-0373,"Научно-технический вестник информационных технологий, механики и оптики",""
539,1027-3689,2686-8601,Научные и технические библиотеки,""
540,"",2222-1816,Научный журнал Российского НИИ проблем мелиорации,""
541,1027-4898,2304-3067,Неврологический вестник,""
542,1560-9545,2413-0699,Неврологический журнал,2019
543,2074-2711,2310-1342,"Неврология, нейропсихиатрия, психосоматика",""
544,1027-8133,"",Нейрохимия,""
545,1683-3295,"",Нейрохирургия,""
546,0002-337X,"",Неорганические материалы,""
547,2222-8721,2413-0443,Нервно-мышечные болезни,""
548,2226-0757,"",Нервные болезни,""
549,1561-6274,2541-9439,Нефрология,""
550,1680-4422,2618-9801,Нефрология и диализ,""
551,"",2070-5379,Нефтегазовая геология. Теория и практика,""
552,2073-0128,"",Нефтегазовое дело,""
553,0028-2421,"",Нефтехимия,""
554,1562-2932,2708-0080,Нефть и Газ,""
555,0028-2448,"",Нефтяное хозяйство,""
556,0130-3864,"",Новая и новейшая история,""
557,2219-9659,2309-7973,Новейшая история России,""
558,0869-6365,2309-9968,Новое литературное обозрение,""
559,0568-5443,2687-1564,Новости систематики высших растений,""
560,2072-9316,"",Новый филологический вестник,""
561,1683-4100,2542-1875,Обзоры по клинической фармакологии и лекарственной терапии,""
562,2313-7053,"",Обозрение психиатрии и медицинской психологии имени В.М. Бехтерева,""
563,1994-6309,2541-819X,"Обработка металлов (технология, оборудование, инструменты)",""
564,1813-9779,2411-7110,Общая реаниматология,""
565,0869-0499,"",Общественные науки и современность,""
566,2071-8713,2306-5524,Ожирение и метаболизм,""
567,0030-1574,"",Океанология,""
568,1818-8346,2413-4023,Онкогематология,""
569,2305-218X,2309-4745,Онкология. Журнал им. П.А. Герцена,""
570,1726-9776,1996-1812,Онкоурология,""
571,0475-1450,"",Онтогенез,""
572,2223-9537,2313-1039,Онтология проектирования,""
573,0869-5695,"",Оптика атмосферы и океана,""
574,0030-4034,"",Оптика и спектроскопия,""
575,1023-5086,"",Оптический журнал,""
576,"",2312-5942,Организационная психология,""
577,2309-3994,2410-8731,"Ортопедия, травматология и восстановительная хирургия детского возраста",""
578,0030-6223,"","Основания, фундаменты и механика грунтов",""
579,0869-4427,"",Отечественные архивы,""
580,1998-7102,2412-5423,Офтальмологические ведомости,""
581,0235-4160,2312-4970,Офтальмохирургия,""
582,0031-031X,"",Палеонтологический журнал,""
583,0031-1847,"",Паразитология,""
584,1683-3759,1726-7269,Пародонтология,""
585,0031-2991,"",Патологическая физиология и экспериментальная терапия,""
586,1681-3472,2500-3119,Патология кровообращения и кардиохирургия,""
587,2079-7850,2587-6252,Педиатр,""
588,1727-5776,2500-3089,Педиатрическая фармакология,""
589,0031-403X,1990-2182,Педиатрия. Журнал им. Г.Н. Сперанского,""
590,2307-2873,2410-4140,Пермский аграрный вестник,""
591,1028-978X,"",Перспективные материалы,""
592,0869-5903,"",Петрология,""
593,0320-0108,"",Письма в Астрономический журнал,""
594,0320-0116,"",Письма в Журнал технической физики,""
595,1814-5957,1814-5973,Письма в журнал Физика элементарных частиц и атомного ядра,""
596,0370-274X,"",Письма в Журнал экспериментальной и теоретической физики,""
597,2218-5046,2410-3535,Письма о материалах,""
598,0235-2486,"",Пищевая промышленность,""
599,0554-2901,"",Пластические массы,""
600,1994-8603,"",Плодородие,""
601,1028-0960,"","Поверхность. Рентгеновские, синхротронные и нейтронные исследования",""
602,2306-4099,2500-2856,Поволжская Археология,""
603,1684-7318,2541-8963,Поволжский экологический журнал,""
604,1684-1301,"",Полет. Общероссийский научно-технический журнал,""
605,1026-9487,1684-0070,Полис. Политические исследования,""
606,1998-1775,"",Политическая наука,""
607,1818-4499,2618-9577,Политическая экспертиза: ПОЛИТЭКС,""
608,2078-5089,2587-5914,Полития: Анализ. Хроника. Прогноз (Журнал политической философии и социологии политики),""
609,0032-180X,"",Почвоведение,""
610,2072-8166,"",Право. Журнал Высшей школы экономики,""
611,1726-9814,"",Практическая онкология,""
612,2073-0004,"","Приборы и системы. Управление, контроль, диагностика",""
613,0032-8162,"",Приборы и техника эксперимента,""
614,0555-1099,"",Прикладная биохимия и микробиология,""
615,2071-0410,2311-2263,Прикладная дискретная математика,""
616,1993-8314,2687-0649,Прикладная информатика,""
617,0032-8235,"",Прикладная математика и механика,""
618,0869-5032,"",Прикладная механика и техническая физика,""
619,1996-0948,"",Прикладная физика,""
620,1993-7601,2410-6445,Прикладная эконометрика,""
621,2618-9712,2686-9683,Природные ресурсы Арктики и Субарктики,""
622,1997-6011,"",Природообустройство,""
623,0555-2648,2618-6713,Проблемы Арктики и Антарктики,""
624,"",2227-6548,"Проблемы археологии, этнографии, антропологии Сибири и сопредельных территорий",""
625,0131-2812,"",Проблемы Дальнего Востока,""
626,1992-0431,2658-316X,"Проблемы истории, филологии, культуры",""
627,1026-9479,2411-4642,Проблемы исторической поэтики,""
628,0235-7119,"",Проблемы машиностроения и надежности машин,""
629,0555-2923,"",Проблемы передачи информации,""
630,0868-6351,"",Проблемы прогнозирования,""
631,1814-9146,"",Проблемы прочности и пластичности,""
632,1025-7217,2309-4885,Проблемы репродукции,""
633,0869-866X,2412-2106,"Проблемы социальной гигиены, здравоохранения и истории медицины",""
634,1819-3161,"",Проблемы управления,""
635,1997-9258,"",Проблемы черной металлургии и материаловедения,""
636,0375-9660,2308-1430,Проблемы эндокринологии,""
637,0132-3474,"",Программирование,""
638,2220-3397,"",Программная инженерия,""
639,0236-235X,2311-2735,Программные продукты и системы,""
640,"",2079-3316,Программные системы: теория и приложения,""
641,0869-7019,"",Промышленное и гражданское строительство,""
642,1815-9834,2587-5957,Пространственная экономика,""
643,2074-9120,"",Профилактическая и клиническая медицина,""
644,2305-4948,2309-513X,Профилактическая медицина,""
645,2075-1761,"",Психиатрия и психофармакотерапия,""
646,1814-2052,2311-7273,Психологическая наука и образование,""
647,0205-9592,"",Психологический журнал,""
648,"",2222-5196,Психология и право,""
649,1813-8918,2541-9226,Психология. Журнал Высшей школы экономики,""
650,"",2587-6139,Психолого-педагогические исследования,""
651,2073-4999,"",Птица и птицепродукты,""
652,0033-3239,"",Птицеводство,""
653,0869-0189,2541-9617,Пульмонология,""
654,0869-8031,"",Радиационная биология. Радиоэкология,""
655,0131-3878,2412-950X,Радиация и риск (Бюллетень Национального радиационно- эпидемиологического регистра),""
656,0033-8486,"",Радиотехника,""
657,0033-8494,"",Радиотехника и электроника,""
658,0033-8311,"",Радиохимия,""
659,0235-0106,"",Расплавы,""
660,2073-0659,"",Растительность России,""
661,0033-9946,"",Растительные ресурсы,""
662,1819-6446,2225-3653,Рациональная фармакотерапия в кардиологии,""
663,0868-5169,"",Регион: Экономика и Социология,""
664,2072-2958,"",Региональная архитектура и строительство,""
665,2310-5305,2312-6612,Робототехника и техническая кибернетика,""
666,0869-6063,"",Российская археология,""
667,0869-5687,"",Российская история,""
668,2500-2627,"",Российская сельскохозяйственная наука,""
669,1992-7223,1993-4068,Российские нанотехнологии,""
670,1810-8830,"",Российский аллергологический журнал,""
671,1726-9784,1726-9792,Российский биотерапевтический журнал,""
672,1726-6122,2309-5148,Российский вестник акушера-гинеколога,""
673,2219-4061,2587-6554,"Российский вестник детской хирургии, анестезиологии и реаниматологии",""
674,"",1996-1499,Российский журнал биологических инвазий,""
675,1812-5123,2410-065X,Российский журнал биомеханики,""
676,2219-5297,2618-9860,Российский журнал боли,""
677,1382-4376,"","Российский журнал гастроэнтерологии, гепатологии, колопроктологии",""
678,1560-9588,2412-9097,Российский журнал кожных и венерических болезней,""
679,1729-7427,2618-6977,Российский журнал менеджмента,""
680,2075-1818,"","Российский журнал Проблемы ветеринарной санитарии, гигиены и экологии",""
681,1028-7221,"",Российский иммунологический журнал,""
682,1560-4071,2618-7620,Российский кардиологический журнал,""
683,0204-3475,2500-2546,Российский медико-биологический вестник имени академика И.П. Павлова,""
684,0869-2106,2412-9100,Российский медицинский журнал,""
685,1028-9984,2412-9119,Российский онкологический журнал,""
686,1998-8435,2541-7843,Российский паразитологический журнал,""
687,1560-9561,2413-2918,Российский педиатрический журнал,""
688,1560-957X,"",Российский психиатрический журнал,""
689,1812-1853,2411-5789,Российский психологический журнал,""
690,1728-2802,2413-2934,Российский стоматологический журнал,""
691,0869-8139,2658-655X,Российский физиологический журнал им. И.М. Сеченова,""
692,1024-6215,"",Российский химический журнал,""
693,0130-9757,"",Российский экономический журнал,""
694,"",2222-7415,Российский электронный журнал лучевой диагностики,""
695,1810-6439,"",Россия в глобальной политике,""
696,0131-6095,"",Русская литература,""
697,0131-6117,"",Русская речь,""
698,1681-1062,"",Русский язык в научном освещении,""
699,0235-2591,2618-9003,Садоводство и виноградарство,""
700,2072-0351,2072-0378,Сахарный диабет,""
701,2071-5234,"",Сварка и диагностика,""
702,0491-6441,"",Сварочное производство,""
703,1992-8130,"",Сверхкритические флюиды: теория и практика,""
704,0039-713X,"",Свиноводство,""
705,0131-6230,2312-6965,Сейсмические приборы,""
706,"",2618-9283,Сейсмостойкое строительство. Безопасность сооружений,""
707,0131-6397,2313-4836,Сельскохозяйственная биология,""
708,2073-7599,2618-6748,Сельскохозяйственные машины и технологии,""
709,0235-0092,"",Сенсорные системы,""
710,2312-461X,2312-4628,Сибирские исторические исследования,""
711,"",1813-3304,Сибирские электронные математические известия,""
712,0370-8799,2658-462X,Сибирский вестник сельскохозяйственной науки,""
713,1560-7526,"",Сибирский журнал вычислительной математики,""
714,1560-7518,"",Сибирский журнал индустриальной математики,""
715,2411-3468,"",Сибирский журнал чистой и прикладной математики,2018
716,0037-4474,"",Сибирский математический журнал,""
717,2410-2512,2410-2520,Сибирский научный медицинский журнал,""
718,1814-4861,2312-3168,Сибирский онкологический журнал,""
719,1813-7083,"",Сибирский филологический журнал,""
720,0869-8619,"",Сибирский экологический журнал,""
721,2075-082X,2542-2189,Системные гипертензии,""
722,0869-6527,2311-0325,Системы и средства информатики,""
723,0202-2397,2618-9518,Скандинавская филология,""
724,0869-544X,"",Славяноведение,""
725,2225-5346,2686-8989,Слово.ру: балтийский акцент,""
726,1814-6090,2542-1964,Современная герпетология,""
727,0201-7083,"",Современная Европа,""
728,"",2304-4977,Современная зарубежная психология,""
729,1996-7012,2310-158X,Современная ревматология,""
730,2070-7401,2411-0280,Современные проблемы дистанционного зондирования Земли из космоса,""
731,2226-5929,2226-5937,Современные проблемы математики,2018
732,2076-4243,2309-995X,Современные технологии в медицине,""
733,"",2712-9640,Солнечно-земная физика,""
734,1680-0613,"",Сорбционные и хроматографические процессы,""
735,0869-4893,"",Социальная и клиническая психиатрия,""
736,2221-1527,2311-7052,Социальная психология и общество,""
737,"",2071-5021,Социальные аспекты здоровья населения,""
738,2308-6416,2413-6891,Социологическая наука и социальная практика,""
739,0132-1625,"",Социологические исследования,""
740,1562-2495,1684-1581,Социологический журнал,""
741,1728-192X,1728-1938,Социологическое обозрение,""
742,2074-0492,2413-144X,Социология власти,""
743,1994-8964,"","Социология: методология, методы, математическое моделирование",""
744,2223-2524,2587-9014,Спортивная медицина: наука и практика,""
745,1812-7126,2542-1417,Сравнительное конституционное обозрение,""
746,0131-8780,"",Средние века,""
747,0038-920X,"",Сталь,""
748,0038-9692,"",Стандарты и качество,""
749,0131-9582,"",Стекло и керамика,""
750,0039-1735,2309-5318,Стоматология,""
751,0869-592X,"",Стратиграфия. Геологическая корреляция,""
752,0039-2383,0039-2383,Строительная механика и расчет сооружений,""
753,1815-5235,2587-8700,Строительная механика инженерных конструкций и сооружений,""
754,0585-430X,2658-6991,Строительные материалы,""
755,2073-7416,"",Строительство и реконструкция,""
756,"",2304-6295,Строительство уникальных зданий и сооружений,""
757,0039-4580,"",Судостроение,""
758,2686-6730,"","США и Канада: экономика, политика, культура",""
759,2073-4018,"",Сыроделие и маслоделие,""
760,2542-0720,"",Таврический вестник аграрной науки,""
761,0564-6162,2305-3135,Теоретическая и математическая физика,""
762,1995-4301,2618-8406,Теоретическая и прикладная экология,""
763,0040-3571,"",Теоретические основы химической технологии,""
764,0040-361X,"",Теория вероятностей и ее применения,""
765,0040-3601,"",Теория и практика физической культуры,""
766,0040-3644,"",Теплофизика высоких температур,""
767,0869-8635,"",Теплофизика и аэромеханика,""
768,0040-3636,"",Теплоэнергетика,""
769,0040-3660,2309-5342,Терапевтический архив,""
770,2072-9642,"",Техника и оборудование для села,""
771,2074-9414,2313-1748,Техника и технология пищевых производств,""
772,2076-0655,"",Техника и технология силикатов,""
773,2070-0997,"",Технологии живых систем,""
774,1815-2600,"",Технологии нефти и газа,""
775,1684-2499,"",Технология металлов,""
776,0207-4028,"",Тихоокеанская геология,""
777,2307-6119,"",Томский журнал лингвистических и антропологических исследований,""
778,2410-6593,2686-7575,Тонкие химические технологии,""
779,2311-2905,2542-0933,Травматология и ортопедия России,""
780,2410-6658,"",Традиционная культура,""
781,0202-4977,"",Трение и износ,""
782,"",2307-6046,Труды ВИАМ,""
783,0376-1274,"",Труды Главной геофизической обсерватории им. А.И. Воейкова,""
784,0206-0477,"",Труды Зоологического института РАН,""
785,0134-4889,2658-4786,Труды института математики и механики УрО РАН,""
786,2079-8156,2220-6426,Труды Института системного программирования РАН,""
787,2542-2324,2618-8244,Труды Крыловского государственного научного центра,""
788,1999-1703,"",Труды Кубанского государственного аграрного университета,""
789,0371-9685,"",Труды Математического института имени В.А. Стеклова,""
790,2072-6759,"",ТРУДЫ МФТИ. Труды Московского физико-технического института (национального исследовательского университета),""
791,2227-8834,2619-0982,"Труды по прикладной ботанике, генетике и селекции",""
792,2073-9028,"",Труды Российского государственного университета нефти и газа имени И.М. Губкина,""
793,2075-1230,2542-1506,Туберкулез и болезни легких,""
794,1999-6640,1999-6659,Университетское управление: практика и анализ,""
795,1819-2440,1819-2467,Управление большими системами: сборник трудов,""
796,1813-1336,"",Упрочняющие технологии и покрытия,""
797,2079-1003,2500-2902,Урало-алтайские исследования,""
798,1728-9718,"",Уральский исторический вестник,""
799,1728-2985,2414-9020,Урология,""
800,1561-9125,"",Успехи геронтологии,""
801,0042-1316,2305-2872,Успехи математических наук,""
802,0042-1324,"",Успехи современной биологии,""
803,0301-1798,"",Успехи физиологических наук,""
804,0042-1294,1996-6652,Успехи физических наук,""
805,0042-1308,1817-5651,Успехи химии,""
806,2074-1863,2074-1871,Уфимский математический журнал,""
807,2542-064X,2500-218X,Ученые записки Казанского университета. Серия: Естественные науки,""
808,2541-7746,2500-2198,Ученые записки Казанского университета. Серия: Физико- математические науки,""
809,0321-3439,"",Ученые записки ЦАГИ,""
810,2312-2862,"",Фармакоэкономика: теория и практика,""
811,0430-6228,"",Физика горения и взрыва,""
812,0002-3337,"",Физика Земли,""
813,0015-3222,"",Физика и техника полупроводников,""
814,0015-3214,"",Физика и химия обработки материалов,""
815,0132-6651,"",Физика и химия стекла,""
816,0015-3230,"",Физика металлов и металловедение,""
817,0132-6414,1816-0328,Физика низких темпеpатуp,""
818,0367-2921,"",Физика плазмы,""
819,0367-3294,"",Физика твердого тела,""
820,0015-3273,"",Физико-технические проблемы разработки полезных ископаемых,""
821,0044-1856,"",Физикохимия поверхности и защита материалов,""
822,0015-3303,"",Физиология растений,""
823,0131-1646,"",Физиология человека,""
824,1681-3456,2413-2969,"Физиотерапия, бальнеология и реабилитация",""
825,1683-805X,"",Физическая мезомеханика,""
826,2225-4293,2712-7885,Физические основы приборостроения,""
827,1560-7488,"",Философия науки,""
828,2413-9084,2658-7297,Философия науки и техники,""
829,2072-0726,2658-4883,Философский журнал,""
830,2075-1990,2658-5332,Финансовый журнал,""
831,2587-5671,2587-7089,Финансы: теория и практика,""
832,2076-2577,2541-982X,Финно-угорский мир,""
833,1997-6976,2309-5601,Флебология,""
834,1995-459X,2312-9972,Форсайт,""
835,1993-7296,2686-844X,Фотоника,""
836,2073-6673,"",Фундаментальная и прикладная гидрофизика,""
837,1811-1416,"",Фундаментальные проблемы современного материаловедения,""
838,0374-1990,2305-2899,Функциональный анализ и его приложения,""
839,0023-1134,"",Химико-фармацевтический журнал,""
840,2713-2854,"",Химическая промышленность сегодня,""
841,1684-5811,"",Химическая технология,""
842,0207-401X,"",Химическая физика,""
843,1727-0227,1727-0529,Химическая физика и мезоскопия,""
844,0869-8538,1817-1818,Химия в интересах устойчивого развития,""
845,0023-1193,"",Химия высоких энергий,""
846,0023-1169,"",Химия и технология топлив и масел,""
847,1029-5151,1029-5143,Химия растительного сырья,""
848,0023-1177,"",Химия твердого топлива,""
849,1810-8997,2313-1497,Хирургия позвоночника,""
850,0023-1207,2309-5628,Хирургия. Журнал им. Н.И. Пирогова,""
851,2072-9669,2658-767X,Хранение и переработка сельхозсырья,""
852,0041-3771,"",Цитология,""
853,1684-2634,"",Цифровая обработка сигналов,""
854,2226-8383,"",Чебышевский сборник,""
855,0236-2007,"",Человек,""
856,0131-7652,2686-7605,ЭКО,""
857,1811-0932,2411-9202,Экологическая генетика,""
858,2072-9952,"",Экологические системы и приборы,""
859,0367-0597,"",Экология,""
860,1816-0395,2413-6042,Экология и промышленность России,""
861,2073-2589,"",Экология промышленного производства,""
862,1728-0869,"",Экология человека,""
863,0424-7388,"",Экономика и математические методы,""
864,1994-5124,2411-2658,Экономическая политика,""
865,"",1726-3247,Экономическая социология,""
866,1813-8691,1813-8705,Экономический журнал Высшей школы экономики,""
867,1682-8658,"",Экспериментальная и клиническая гастроэнтерология,""
868,2222-8543,"",Экспериментальная и клиническая урология,""
869,0869-2092,"",Экспериментальная и клиническая фармакология,""
870,2072-7593,2311-7036,Экспериментальная психология,""
871,1560-4128,"",Электромагнитные волны и электронные системы,""
872,1684-5781,"",Электрометаллургия,""
873,2410-9932,"",Электронная техника. Серия 3: Микроэлектроника,""
874,"",2079-8784,"Электронный научно-образовательный журнал ""История""",""
875,0013-5860,"",Электротехника,""
876,0424-8570,"",Электрохимия,""
877,2306-3513,2310-3965,Эндокринная хирургия,""
878,1025-7209,2309-5636,Эндоскопическая хирургия,""
879,0367-1445,"",Энтомологическое обозрение,""
880,2073-3046,2619-0494,Эпидемиология и вакцинопрофилактика,""
881,1560-9529,2411-3026,Эпидемиология и инфекционные болезни,""
882,2226-6976,2414-9640,Эпидемиология и инфекционные болезни. Актуальные вопросы,""
883,1811-833X,2311-7133,Эпистемология и философия науки,""
884,2687-0886,"",Эталоны. Стандартные образцы,""
885,0869-5415,"",Этнографическое обозрение,""
886,0044-0027,"",Ядерная физика,""
887,2079-5629,2079-5637,Ядерная физика и инжиниринг,2019
